ABB_NAME,Offence Count,Rate
 Yarriambiack,294,4246.10
Total,"68,262",7273.40
 Justice Institutions and Immigration Facilities,"1,135",
Total,"1,135",
 Unincorporated Vic,63,
Total,63,
 Banyule,"7,517",6046.80
 Brimbank,"18,872",9620.30
 Darebin,"11,129",7556.80
 Hobsons Bay,"6,913",7751.00
 Hume,"15,072",8152.60
 Maribyrnong,"8,294",10395.80
 Melbourne,"34,249",28850.70
 Melton,"8,371",6754.30
 Moonee Valley,"8,049",6971.00
 Moreland,"11,788",7354.50
 Nillumbik,"1,925",3047.10
 Whittlesea,"11,926",6652.50
 Wyndham,"12,075",6348.20
 Yarra,"10,625",12654.50
Total,"166,805",8984.40
 Alpine,417,3394.90
 Bass Coast,"2,229",7114.40
 Baw Baw,"3,104",6803.00
 Benalla,"1,020",7349.80
 Boroondara,"6,778",3975.70
 East Gippsland,"3,817",8712.80
 Greater Shepparton,"6,060",9581.90
 Indigo,436,2794.00
 Knox,"8,779",5615.10
 Latrobe,"10,268",13852.50
 Manningham,"3,530",2982.50
 Mansfield,320,3866.60
 Maroondah,"6,320",5756.90
 Mitchell,"2,506",6631.70
 Moira,"1,301",4501.00
 Monash,"8,501",4638.90
 Murrindindi,632,4659.70
 South Gippsland,"1,373",4856.20
 Strathbogie,518,5249.80
 Towong,271,4546.20
 Wangaratta,"2,313",8365.30
 Wellington,"3,781",8850.40
 Whitehorse,"7,256",4476.80
 Wodonga,"2,925",7784.40
 Yarra Ranges,"6,290",4168.30
Total,"90,745",5701.20
 Bayside,"4,166",4240.10
 Cardinia,"5,318",6286.70
 Casey,"15,468",5563.60
 Frankston,"13,610",10130.20
 Glen Eira,"5,804",4108.70
 Greater Dandenong,"15,502",10438.90
 Kingston,"9,055",5944.10
 Mornington Peninsula,"9,068",5888.30
 Port Phillip,"11,417",11176.00
 Stonnington,"8,976",8673.60
Total,"98,384",7042.70
 Ararat,"1,331",11584.00
 Ballarat,"9,655",9817.60
 Buloke,280,4383.20
 Campaspe,"2,593",6968.00
 Central Goldfields,"1,075",8388.60
 Colac-Otway,"1,362",6474.90
 Corangamite,636,3875.70
 Gannawarra,561,5329.70
 Glenelg,"1,365",6895.00
 Golden Plains,498,2445.70
 Greater Bendigo,"8,200",7739.00
 Greater Geelong,"16,339",7315.20
 Hepburn,642,4273.70
 Hindmarsh,277,4733.40
 Horsham,"2,652",13466.00
 Loddon,412,5480.20
 Macedon Ranges,"1,704",3821.10
 Mildura,"5,501",10348.80
 Moorabool,"1,781",5856.60
 Mount Alexander,900,4932.30
 Moyne,555,3377.80
 Northern Grampians,"1,974",16616.20
 Pyrenees,365,5260.90
 Queenscliffe,92,3064.60
 Southern Grampians,"1,026",6273.30
 Surf Coast,"1,187",4205.00
 Swan Hill,"1,760",8379.80
 Warrnambool,"2,264",6773.80
 West Wimmera,173,4195.00
 Yarriambiack,372,5290.10
Total,"67,532",7288.10
 Justice Institutions and Immigration Facilities,"1,249",
Total,"1,249",
 Unincorporated Vic,114,
Total,114,
 Banyule,"7,280",5890.70
 Brimbank,"17,348",8952.70
 Darebin,"11,836",8163.50
 Hobsons Bay,"6,425",7273.10
 Hume,"14,806",8262.20
 Maribyrnong,"9,144",11847.80
 Melbourne,"31,624",29396.30
 Melton,"8,258",6978.80
 Moonee Valley,"7,806",6867.10
 Moreland,"11,677",7439.10
 Nillumbik,"1,840",2923.70
 Whittlesea,"11,673",6866.80
 Wyndham,"12,488",6971.40
 Yarra,"10,945",13467.80
Total,"163,150",9079.30
 Alpine,414,3398.20
 Bass Coast,"2,069",6715.10
 Baw Baw,"2,524",5671.10
 Benalla,932,6729.70
 Boroondara,"6,437",3820.60
 East Gippsland,"2,930",6762.20
 Greater Shepparton,"6,268",10018.90
 Indigo,499,3228.90
 Knox,"8,409",5411.00
 Latrobe,"9,094",12288.50
